processed 8333 tokens with 2833 phrases; found: 2828 phrases; correct: 2678.
accuracy:  98.14%; precision:  94.70%; recall:  94.53%; FB1:  94.61
    aircraft_code: precision: 100.00%; recall:  84.85%; FB1:  91.80  28
     airline_code: precision: 100.00%; recall:  91.18%; FB1:  95.38  31
     airline_name: precision:  84.17%; recall: 100.00%; FB1:  91.40  120
     airport_code: precision: 100.00%; recall:  66.67%; FB1:  80.00  6
     airport_name: precision: 100.00%; recall:  90.48%; FB1:  95.00  19
arrive_date.date_relative: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
arrive_date.day_name: precision: 100.00%; recall:  90.91%; FB1:  95.24  10
arrive_date.day_number: precision: 100.00%; recall:  83.33%; FB1:  90.91  5
arrive_date.month_name: precision: 100.00%; recall:  83.33%; FB1:  90.91  5
arrive_time.end_time: precision: 100.00%; recall: 100.00%; FB1: 100.00  8
arrive_time.period_of_day: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
arrive_time.start_time: precision: 100.00%; recall:  87.50%; FB1:  93.33  7
 arrive_time.time: precision: 100.00%; recall:  82.35%; FB1:  90.32  28
arrive_time.time_relative: precision: 100.00%; recall:  83.87%; FB1:  91.23  26
    booking_class: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
        city_name: precision: 100.00%; recall:  84.21%; FB1:  91.43  48
       class_type: precision: 100.00%; recall:  87.50%; FB1:  93.33  21
      compartment: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
          connect: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
    cost_relative: precision: 100.00%; recall:  91.89%; FB1:  95.77  34
         day_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
        days_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
depart_date.date_relative: precision: 100.00%; recall:  82.35%; FB1:  90.32  14
depart_date.day_name: precision:  98.15%; recall: 100.00%; FB1:  99.07  216
depart_date.day_number: precision:  94.83%; recall: 100.00%; FB1:  97.35  58
depart_date.month_name: precision:  76.71%; recall: 100.00%; FB1:  86.82  73
depart_date.today_relative: precision: 100.00%; recall: 100.00%; FB1: 100.00  9
 depart_date.year: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
depart_time.end_time: precision: 100.00%; recall:  66.67%; FB1:  80.00  2
depart_time.period_mod: precision: 100.00%; recall: 100.00%; FB1: 100.00  5
depart_time.period_of_day: precision:  90.65%; recall: 100.00%; FB1:  95.09  139
depart_time.start_time: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
 depart_time.time: precision:  87.69%; recall: 100.00%; FB1:  93.44  65
depart_time.time_relative: precision: 100.00%; recall:  86.15%; FB1:  92.56  56
          economy: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
      fare_amount: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
  fare_basis_code: precision: 100.00%; recall:  94.12%; FB1:  96.97  16
           flight: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
      flight_days: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
       flight_mod: precision: 100.00%; recall:  91.67%; FB1:  95.65  22
    flight_number: precision: 100.00%; recall: 100.00%; FB1: 100.00  11
      flight_stop: precision: 100.00%; recall:  90.48%; FB1:  95.00  19
      flight_time: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
fromloc.airport_code: precision: 100.00%; recall:  80.00%; FB1:  88.89  4
fromloc.airport_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  12
fromloc.city_name: precision:  90.31%; recall:  99.29%; FB1:  94.59  774
fromloc.state_code: precision: 100.00%; recall:  91.30%; FB1:  95.45  21
fromloc.state_name: precision: 100.00%; recall:  88.24%; FB1:  93.75  15
             meal: precision: 100.00%; recall:  81.25%; FB1:  89.66  13
        meal_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
 meal_description: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
              mod: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
               or: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
    period_of_day: precision: 100.00%; recall: 100.00%; FB1: 100.00  4
 restriction_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  4
return_date.date_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
return_date.day_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
       round_trip: precision: 100.00%; recall: 100.00%; FB1: 100.00  73
       state_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
       state_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  9
stoploc.airport_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
stoploc.city_name: precision: 100.00%; recall:  95.00%; FB1:  97.44  19
toloc.airport_code: precision: 100.00%; recall:  75.00%; FB1:  85.71  3
toloc.airport_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
  toloc.city_name: precision:  98.32%; recall:  89.94%; FB1:  93.95  655
toloc.country_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
 toloc.state_code: precision: 100.00%; recall:  88.89%; FB1:  94.12  16
 toloc.state_name: precision: 100.00%; recall:  92.86%; FB1:  96.30  26
   transport_type: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
